,raw,json,bird,alternate_names,scientific_name
142,The Genovesa cactus finch (Geospiza propinqua) is a species of bird in the tanager family Thraupidae,"{'bird': 'Genovesa cactus finch', 'alternate_names': 'Geospiza propinqua', 'scientific_name': 'Thraupidae'}",Genovesa cactus finch,Geospiza propinqua,Thraupidae
144,"The gentoo penguin (/ˈdʒɛntuː/ JEN-too) (Pygoscelis papua) is a penguin species (or possibly a species complex) in the genus Pygoscelis, most closely related to the Adélie penguin (P","{'bird': 'Gentoo Penguin', 'alternate_names': ['Pygoscelis papua'], 'scientific_name': 'Pygoscelis papua'}",Gentoo Penguin,['Pygoscelis papua'],Pygoscelis papua
147,Germain's peacock-pheasant (Polyplectron germaini) is a pheasant that is endemic to Indochina,"{'bird': ""Germain's peacock-pheasant"", 'alternate_names': ['Polyplectron germaini'], 'scientific_name': 'Polyplectron germaini'}",Germain's peacock-pheasant,['Polyplectron germaini'],Polyplectron germaini
149,The giant antpitta (Grallaria gigantea) is a perching bird species in the antpitta family (Grallariidae),"{'bird': 'Giant Antpitta', 'alternate_names': 'Grallaria gigantea', 'scientific_name': 'Grallariidae'}",Giant Antpitta,Grallaria gigantea,Grallariidae
150,"The giant antshrike (Batara cinerea) is a species of bird in the family Thamnophilidae, belonging to the monotypic genus Batara","{'bird': 'Giant Antshrike', 'alternate_names': [], 'scientific_name': 'Batara cinerea'}",Giant Antshrike,,Batara cinerea
153,"The giant coot (Fulica gigantea) is a species of bird in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots","{'bird': 'Giant Coot', 'alternate_names': ['Fulica gigantea'], 'scientific_name': 'Fulica gigantea'}",Giant Coot,['Fulica gigantea'],Fulica gigantea
154,The giant coua (Coua gigas) is a bird species from the coua genus in the cuckoo family that is endemic to the dry forests of western and southern Madagascar,"{'bird': 'Giant Coua', 'alternate_names': ['Coua gigas'], 'scientific_name': 'Coua gigas'}",Giant Coua,['Coua gigas'],Coua gigas
156,The giant honeyeater or duetting giant honeyeater (Gymnomyza brunneirostris) is a species of bird in the family Meliphagidae,"{'bird': 'Giant Honeyeater', 'alternate_names': 'Duetting Giant Honeyeater', 'scientific_name': 'Gymnomyza brunneirostris'}",Giant Honeyeater,Duetting Giant Honeyeater,Gymnomyza brunneirostris
157,"The giant hummingbird (Patagona gigas) is the only member of the genus Patagona and the largest member of the hummingbird family, weighing 18–24 g (0","{'bird': 'Giant Hummingbird', 'alternate_names': [], 'scientific_name': 'Patagona gigas'}",Giant Hummingbird,,Patagona gigas
159,The giant kingbird (Tyrannus cubensis) is a species of bird in the tyrant flycatcher family Tyrannidae endemic to Cuba,"{'bird': 'Giant Kingbird', 'alternate_names': [], 'scientific_name': 'Tyrannus cubensis'}",Giant Kingbird,,Tyrannus cubensis
160,"The giant kingfisher (Megaceryle maxima) is the largest kingfisher in Africa, where it is a resident breeding bird over most of the continent south of the Sahara Desert, other than the arid southwest","{'bird': 'Giant Kingfisher', 'alternate_names': 'Megaceryle maxima', 'scientific_name': 'Megaceryle maxima'}",Giant Kingfisher,Megaceryle maxima,Megaceryle maxima
162,The giant nuthatch (Sitta magna) is a species of bird in the family Sittidae,"{'bird': 'giant nuthatch', 'alternate_names': [], 'scientific_name': 'Sitta magna'}",giant nuthatch,,Sitta magna
163,The giant pitta (Hydrornis caeruleus) is a species of bird in the family Pittidae,"{'bird': 'Giant Pitta', 'alternate_names': ['Hydrornis caeruleus'], 'scientific_name': 'Pittidae'}",Giant Pitta,['Hydrornis caeruleus'],Pittidae
164,"The giant scops owl (Otus gurneyi), lesser eagle-owl or the Mindanao eagle-owl, is a species of owl in the family Strigidae","{'bird': 'Giant Scops Owl', 'alternate_names': ['Lesser Eagle-Owl', 'Mindanao Eagle-Owl'], 'scientific_name': 'Otus gurneyi', 'family': 'Strigidae'}",Giant Scops Owl,"['Lesser Eagle-Owl', 'Mindanao Eagle-Owl']",Otus gurneyi
165,The giant snipe (Gallinago undulata) is a stocky wader,"{'bird': 'Giant Snipe', 'alternate_names': [], 'scientific_name': 'Gallinago undulata'}",Giant Snipe,,Gallinago undulata
166,The giant sunbird (Dreptes thomensis) is a species of bird in the family Nectariniidae,"{'bird': 'Giant Sunbird', 'alternate_names': [], 'scientific_name': 'Dreptes thomensis'}",Giant Sunbird,,Dreptes thomensis
168,The giant weaver (Ploceus grandis) is a species of bird in the family Ploceidae,"{'bird': 'The giant weaver', 'alternate_names': 'Ploceus grandis', 'scientific_name': 'Ploceidae'}",The giant weaver,Ploceus grandis,Ploceidae
169,"The giant white-eye, or Palau greater white-eye (Megazosterops palauensis) is a species of bird in the family Zosteropidae","{'bird': 'The giant white-eye', 'alternate_names': 'Palau greater white-eye', 'scientific_name': 'Megazosterops palauensis'}",The giant white-eye,Palau greater white-eye,Megazosterops palauensis
170,"The giant wood rail (Aramides ypecaha) is a species of bird in the subfamily Rallinae of the rail, crake, and coot family Rallidae","{'bird': 'Giant wood rail', 'alternate_names': [], 'scientific_name': 'Aramides ypecaha'}",Giant wood rail,,Aramides ypecaha
171,The giant wren (Campylorhynchus chiapensis) is a species of bird in the family Troglodytidae,"{'bird': 'The giant wren', 'alternate_names': 'Campylorhynchus chiapensis', 'scientific_name': 'Troglodytidae'}",The giant wren,Campylorhynchus chiapensis,Troglodytidae
172,The gibberbird (Ashbyia lovensis) is a species of chat within the Meliphagidae family of passerine birds,"{'bird': 'gibberbird', 'alternate_names': 'Ashbyia lovensis', 'scientific_name': 'Meliphagidae family of passerine birds'}",gibberbird,Ashbyia lovensis,Meliphagidae family of passerine birds
173,The Gila woodpecker (Melanerpes uropygialis) is a medium-sized woodpecker of the desert regions of the southwestern United States and western Mexico,"{'bird': 'Gila woodpecker', 'alternate_names': 'Melanerpes uropygialis', 'scientific_name': 'Melanerpes uropygialis'}",Gila woodpecker,Melanerpes uropygialis,Melanerpes uropygialis
174,"Gilbert's honeyeater (Melithreptus chloropsis), also known as the Swan River honeyeater or western white-naped honeyeater, is a passerine bird of the honeyeater family Meliphagidae native to southwestern Australia","{'bird': ""Gilbert's honeyeater"", 'alternate_names': ['Swan River honeyeater', 'western white-naped honeyeater'], 'scientific_name': 'Melithreptus chloropsis'}",Gilbert's honeyeater,"['Swan River honeyeater', 'western white-naped honeyeater']",Melithreptus chloropsis
175,"The Gilbert's whistler (Pachycephala inornata) is a monotypic species of bird endemic to Australia, scattered in semi-arid zones of southern Australia","{'bird': ""Gilbert's whistler"", 'alternate_names': 'none', 'scientific_name': 'Pachycephala inornata', 'endemic_to': 'Australia', 'habitat': 'semi-arid zones of southern Australia'}",Gilbert's whistler,none,Pachycephala inornata
176,"The gilded barbet (Capito auratus) is a species of bird in the family Capitonidae, the New World barbets, and are close relatives of the toucans","{'bird': 'gilded barbet', 'alternate_names': ['Capito auratus'], 'scientific_name': 'Capitonidae'}",gilded barbet,['Capito auratus'],Capitonidae
177,"The gilded flicker (Colaptes chrysoides) is a large-sized woodpecker (mean length of 29 cm (11 in)) of the Sonoran, Yuma, and eastern Colorado Desert regions of the southwestern United States and northwestern Mexico, including all of Baja California, except the extreme northwestern region","{'bird': 'The gilded flicker', 'alternate_names': 'Colaptes chrysoides', 'scientific_name': 'Colaptes chrysoides'}",The gilded flicker,Colaptes chrysoides,Colaptes chrysoides
178,"The gilded sapphire (Hylocharis chrysura), also known as the gilded hummingbird, is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae","{'bird': 'Gilded sapphire', 'alternate_names': 'Gilded hummingbird', 'scientific_name': 'Hylocharis chrysura'}",Gilded sapphire,Gilded hummingbird,Hylocharis chrysura
182,The Gizo white-eye or yellow-billed white-eye (Zosterops luteirostris) is a species of bird in the family Zosteropidae,"{'bird': 'Gizo white-eye', 'alternate_names': ['yellow-billed white-eye'], 'scientific_name': 'Zosterops luteirostris'}",Gizo white-eye,['yellow-billed white-eye'],Zosterops luteirostris
183,"The glaucous gull (Larus hyperboreus) is a large gull, the second-largest gull in the world","{'bird': 'glaucous gull', 'alternate_names': ['Larus hyperboreus'], 'scientific_name': 'Larus hyperboreus'}",glaucous gull,['Larus hyperboreus'],Larus hyperboreus
184,"The glaucous macaw (Anodorhynchus glaucus) is a critically endangered or possibly extinct species of large, blue and grey South American parrot, a member of a large group of neotropical parrots known as macaws","{'bird': 'The glaucous macaw', 'alternate_names': 'Anodorhynchus glaucus', 'scientific_name': 'Anodorhynchus glaucus'}",The glaucous macaw,Anodorhynchus glaucus,Anodorhynchus glaucus
185,The glaucous tanager (Thraupis glaucocolpa) is a species of bird in the family Thraupidae,"{'bird': 'glaucous tanager', 'alternate_names': [], 'scientific_name': 'Thraupis glaucocolpa'}",glaucous tanager,,Thraupis glaucocolpa
187,"The glaucous-winged gull (Larus glaucescens) is a large, white-headed gull","{'bird': 'gull', 'alternate_names': 'Larus glaucescens', 'scientific_name': 'The glaucous-winged gull'}",gull,Larus glaucescens,The glaucous-winged gull
188,The glistening-green tanager (Chlorochrysa phoenicotis) is a species of bird in the family Thraupidae,"{'bird': 'Glistening-green tanager', 'alternate_names': [], 'scientific_name': 'Chlorochrysa phoenicotis'}",Glistening-green tanager,,Chlorochrysa phoenicotis
191,"The glittering-throated emerald (Chionomesa fimbriata) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae","{'bird': 'hummingbird', 'alternate_names': 'Chionomesa fimbriata', 'scientific_name': 'Trochilini of subfamily Trochilinae'}",hummingbird,Chionomesa fimbriata,Trochilini of subfamily Trochilinae
192,"The glossy antshrike (Sakesphorus luctuosus) is a species of bird in the family Thamnophilidae, the antbirds","{'bird': 'glossy antshrike', 'alternate_names': 'Sakesphorus luctuosus', 'scientific_name': 'Thamnophilidae, the antbirds'}",glossy antshrike,Sakesphorus luctuosus,"Thamnophilidae, the antbirds"
194,The glossy flowerpiercer (Diglossa lafresnayii) is a species of bird in the family Thraupidae,"{'bird': 'flowerpiercer', 'alternate_names': ['Diglossa lafresnayii'], 'scientific_name': 'Thraupidae'}",flowerpiercer,['Diglossa lafresnayii'],Thraupidae
195,The glossy ibis (Plegadis falcinellus) is a water bird in the order Pelecaniformes and the ibis and spoonbill family Threskiornithidae,"{'bird': 'glossy ibis', 'alternate_names': ['Plegadis falcinellus'], 'scientific_name': 'Threskiornithidae'}",glossy ibis,['Plegadis falcinellus'],Threskiornithidae
200,The glossy-mantled manucode (Manucodia ater) is a species of bird-of-paradise,"{'bird': 'Manucode', 'alternateNames': ['Manucodia ater'], 'scientificName': 'Manucodia ater'}",Manucode,,
201,"The glowing puffleg (Eriocnemis vestita) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae","{'Bird': 'Puffleg', 'Alternate Names': 'None', 'Scientific Name': 'Eriocnemis vestita'}",,,
202,"The glow-throated hummingbird (Selasphorus ardens) is an Endangered species of hummingbird in tribe Mellisugini of subfamily Trochilinae, the ""bee hummingbirds""","{'Bird': 'Glow-throated Hummingbird', 'Alternate Names': 'None', 'Scientific Name': 'Selasphorus ardens'}",,,
203,Godlewski's bunting (Emberiza godlewskii) is a species of bird in the family Emberizidae,"{'bird': ""Godlewski's bunting"", 'alternate_names': ['Emberiza godlewskii'], 'scientific_name': 'Emberizidae'}",Godlewski's bunting,['Emberiza godlewskii'],Emberizidae
205,The Gola malimbe or Ballman's malimbe (Malimbus ballmanni) is a species of bird in the family Ploceidae,"{'bird': 'Gola malimbe', 'alternate_names': ""Ballman's malimbe"", 'scientific_name': 'Malimbus ballmanni'}",Gola malimbe,Ballman's malimbe,Malimbus ballmanni
206,The goldcrest (Regulus regulus) is a very small passerine bird in the kinglet family,"{'bird': 'goldcrest', 'alternate_names': 'Regulus regulus', 'scientific_name': 'Kinglet family'}",goldcrest,Regulus regulus,Kinglet family
207,The golden babbler (Cyanoderma chrysaeum) is a babbler species in the family Timaliidae,"{'bird': 'The golden babbler', 'alternate_names': 'Cyanoderma chrysaeum', 'scientific_name': 'Timaliidae'}",The golden babbler,Cyanoderma chrysaeum,Timaliidae
208,"The golden bowerbird (Prionodura newtoniana) is a species of bird in the family Ptilonorhynchidae, the bowerbirds","{'bird': 'golden bowerbird', 'alternate_names': 'Prionodura newtoniana', 'scientific_name': 'Ptilonorhynchidae'}",golden bowerbird,Prionodura newtoniana,Ptilonorhynchidae
209,"The golden bush robin (Tarsiger chrysaeus) or golden bush-robin was first discovered in 1845 by Brian Houghton Hodgson, a British naturalist","{'bird': 'Golden Bush Robin', 'alternate_names': ['Golden Bush-Robin'], 'scientific_name': 'Tarsiger chrysaeus'}",Golden Bush Robin,['Golden Bush-Robin'],Tarsiger chrysaeus
210,The golden cuckooshrike (Campochaera sloetii) is a species of bird in the family Campephagidae,"{'bird': 'The golden cuckooshrike', 'alternate_names': 'Campochaera sloetii', 'scientific_name': 'Campephagidae'}",The golden cuckooshrike,Campochaera sloetii,Campephagidae
212,"The golden fruit dove (Ptilinopus luteovirens), also known as the lemon dove or yellow dove, is a small, approximately 20 cm (8 in) long, short-tailed fruit-dove in the family Columbidae","{'bird': 'golden fruit dove', 'alternate_names': ['lemon dove', 'yellow dove'], 'scientific_name': 'Ptilinopus luteovirens'}",golden fruit dove,"['lemon dove', 'yellow dove']",Ptilinopus luteovirens
214,"The golden grosbeak (Pheucticus chrysogaster), also known as golden-bellied grosbeak or southern yellow grosbeak, is a species of grosbeak in the family Cardinalidae","{'bird': 'Golden Grosbeak', 'alternate_names': ['Golden-bellied Grosbeak', 'Southern Yellow Grosbeak'], 'scientific_name': 'Pheucticus chrysogaster'}",Golden Grosbeak,"['Golden-bellied Grosbeak', 'Southern Yellow Grosbeak']",Pheucticus chrysogaster
215,"The golden masked owl (Tyto aurantia) is a barn owl endemic to the island of New Britain, Papua New Guinea","{'bird': 'Barn Owl', 'alternate_names': ['Tyto aurantia'], 'scientific_name': 'Tyto aurantia'}",Barn Owl,['Tyto aurantia'],Tyto aurantia
217,The golden myna (Mino anais) is a species of starling in the family Sturnidae,"{'bird': 'Golden Myna', 'alternate_names': ['Mino anais'], 'scientific_name': 'Sturnidae'}",Golden Myna,['Mino anais'],Sturnidae
218,The golden nightjar (Caprimulgus eximius) is a species of nightjar in the family Caprimulgidae,"{'bird': 'golden nightjar', 'alternate_names': 'Caprimulgus eximius', 'scientific_name': 'Caprimulgidae'}",golden nightjar,Caprimulgus eximius,Caprimulgidae
219,"The golden palm weaver (Ploceus bojeri) is a species of bird in the weaver family, Ploceidae","{'bird': 'The golden palm weaver', 'alternate_names': 'Ploceus bojeri', 'scientific_name': 'Ploceidae'}",The golden palm weaver,Ploceus bojeri,Ploceidae
